Product Name,Component Type,Minimum Version,Last Update,SoftPaq #,SoftPaq Link
HP ProBook 445 G6,BIOS,01.19.00,Rev 1,SP137123,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137123.exe
HP ProBook 445r G6,BIOS,01.19.00,Rev 1,SP137140,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137140.exe
HP ProBook 450 G4,BIOS,1.41,Rev 1,SP139665,Pending
HP ProBook 450 G5,BIOS,01.20.00,Rev 1,SP140002,https://ftp.hp.com/pub/softpaq/sp140001-140500/sp140002.exe
HP ProBook 450 G6,BIOS,01.19.00,Rev 1,SP137158,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137158.exe
HP ProBook 455 G4,BIOS,1.4,Rev 1,SP139615,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139615.exe
HP ProBook 455 G5,BIOS,01.20.00,Rev 1,SP139589,Pending
HP ProBook 455 G6,BIOS,01.19.00,Rev 1,SP137123,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137123.exe
HP ProBook 455r G6,BIOS,01.19.00,Rev 1,SP137140,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137140.exe
HP ProBook 470 G4,BIOS,1.41,Rev 1,SP139665,Pending
HP ProBook 470 G5,BIOS,01.20.00,Rev 1,SP140002,https://ftp.hp.com/pub/softpaq/sp140001-140500/sp140002.exe
HP ProBook 640 G3,BIOS,1.41,Rev 1,SP139759,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139759.exe
HP ProBook 640 G4,BIOS,01.20.00,Rev 1,SP139940,Pending
HP ProBook 640 G5,BIOS,01.12.00,Rev 1,SP137080,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137080.exe
HP ProBook 645 G3,BIOS,1.4,Rev 1,SP139792,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139792.exe
HP ProBook 645 G4,BIOS,01.20.00,Rev 1,SP139836,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139836.exe
HP ProBook 650 G3,BIOS,1.41,Rev 1,SP139759,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139759.exe
HP ProBook 650 G4,BIOS,01.20.00,Rev 1,SP139940,Pending
HP ProBook 650 G5,BIOS,01.12.00,Rev 1,SP137080,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137080.exe
HP ProBook 655 G3,BIOS,1.4,Rev 1,SP139792,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139792.exe
HP ProBook x360 11 G2 EE,BIOS,1.43,Rev 1,SP139961,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139961.exe
HP ProBook x360 11 G3 EE,BIOS,01.17.00,Rev 1,SP136388,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136388.exe
