Product Name,Component Type,Minimum Version,Last Update,SoftPaq #,SoftPaq Link
HP Z2 Mini G4 Workstation,BIOS (Linux),01.08.01,Rev 1,SP139133,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139133.tgz
HP Z2 Mini G5 Workstation,BIOS (Win 10),01.04.02,Rev 1,SP139446,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139446.exe
HP Z2 Mini G5 Workstation,BIOS (Linux),01.04.02,Rev 1,SP139439,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139439.tgz
HP Z2 Small Form Factor G4 Workstation,"BIOS (Win 10, Win 7)",01.08.01,Rev 1,SP139134,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139134.exe
HP Z2 Small Form Factor G4 Workstation,BIOS (Linux),01.08.01,Rev 1,SP139133,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139133.tgz
HP Z2 Small Form Factor G5 Workstation,BIOS (Win 10),01.04.02,Rev 1,SP139446,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139446.exe
HP Z2 Small Form Factor G5 Workstation,BIOS (Linux),01.04.02,Rev 1,SP139439,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139439.tgz
HP Z2 Tower G4 Workstation,"BIOS (Win 10, Win 7)",01.08.01,Rev 1,SP139134,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139134.exe
HP Z2 Tower G4 Workstation,BIOS (Linux),01.08.01,Rev 1,SP139133,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139133.tgz
HP Z2 Tower G5 Workstation,BIOS (Win 10),01.04.02,Rev 1,SP139446,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139446.exe
HP Z2 Tower G5 Workstation,BIOS (Linux),01.04.02,Rev 1,SP139439,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139439.tgz
HP Z238 Microtower Workstation,"BIOS (Win 10, Win 7)",1.83,Rev 1,SP139293,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139293.exe
HP Z238 Microtower Workstation,BIOS (Linux),1.83,Rev 1,SP139292,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139292.tgz
HP Z240 Small Form Factor Workstation,"BIOS (Win 10, Win 7)",1.83,Rev 1,SP139293,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139293.exe
HP Z240 Small Form Factor Workstation,BIOS (Linux),1.83,Rev 1,SP139292,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139292.tgz
HP Z240 Tower Workstation,"BIOS (Win 10, Win 7)",1.83,Rev 1,SP139293,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139293.exe
HP Z240 Tower Workstation,BIOS (Linux),1.83,Rev 1,SP139292,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139292.tgz
